sentence,sentiment,lem_words,lem_tags,word_tags
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
"i have eaten here a handful of times, for no reason besides sheer convenience.",1,have eat here handful time reason sheer convenience,VB VB RB NN NN NN NN NN,"['have/VB', 'eat/VB', 'here/RB', 'handful/NN', 'time/NN', 'reason/NN', 'sheer/NN', 'convenience/NN']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
Food was good not great not worth the wait or another visit,1,food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,"['food/NN', 'be/VB', 'good/JJ', 'not/RB', 'great/JJ', 'not/RB', 'wait/NN', 'visit/NN']"
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",1,rude service medicore food be ton restaurant ny stay away one,JJ NN JJ NN VB NN NN NN VB RB NN,"['rude/JJ', 'service/NN', 'medicore/JJ', 'food/NN', 'be/VB', 'ton/NN', 'restaurant/NN', 'ny/NN', 'stay/VB', 'away/RB', 'one/NN']"
Ciao Bella,1,ciao bella,NN NN,"['ciao/NN', 'bella/NN']"
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",1,ive be many thai restaurant manhattan before toon be far best thai food ive have mom course,VB VB JJ NN NN JJ NN NN VB RB JJ NN NN VB VB NN NN,"['ive/VB', 'be/VB', 'many/JJ', 'thai/NN', 'restaurant/NN', 'manhattan/JJ', 'before/NN', 'toon/NN', 'be/VB', 'far/RB', 'best/JJ', 'thai/NN', 'food/NN', 'ive/VB', 'have/VB', 'mom/NN', 'course/NN']"
Have the iced tea.,1,have iced tea,VB JJ NN,"['have/VB', 'iced/JJ', 'tea/NN']"
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",1,service be attentive yet unimposing food be far better many notorious restaurant midtown wine list be extensive well price,NN VB JJ RB JJ NN VB RB JJ JJ JJ NN NN NN NN VB JJ RB VB,"['service/NN', 'be/VB', 'attentive/JJ', 'yet/RB', 'unimposing/JJ', 'food/NN', 'be/VB', 'far/RB', 'better/JJ', 'many/JJ', 'notorious/JJ', 'restaurant/NN', 'midtown/NN', 'wine/NN', 'list/NN', 'be/VB', 'extensive/JJ', 'well/RB', 'price/VB']"
less wait time for me!,1,less wait time,JJ JJ NN,"['less/JJ', 'wait/JJ', 'time/NN']"
"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",1,lazy folk don want come alphabet city say good stay out,JJ NN VB VB VB NN NN VB JJ NN RB,"['lazy/JJ', 'folk/NN', 'don/VB', 'want/VB', 'come/VB', 'alphabet/NN', 'city/NN', 'say/VB', 'good/JJ', 'stay/NN', 'out/RB']"
I am going to the mid town location next.,1,be go mid town location next,VB VB JJ NN NN RB,"['be/VB', 'go/VB', 'mid/JJ', 'town/NN', 'location/NN', 'next/RB']"
"From the street it looks very hidden, and is actually an old warehouse.",1,street look very hidden be actually old warehouse,NN VB RB JJ VB RB JJ NN,"['street/NN', 'look/VB', 'very/RB', 'hidden/JJ', 'be/VB', 'actually/RB', 'old/JJ', 'warehouse/NN']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
Our friends have not arrived yet.,1,friend have not arrive yet,NN VB RB VB RB,"['friend/NN', 'have/VB', 'not/RB', 'arrive/VB', 'yet/RB']"
sometimes i get good food and ok service.,1,sometimes get good food service,RB VB JJ NN NN,"['sometimes/RB', 'get/VB', 'good/JJ', 'food/NN', 'service/NN']"
"When I called this morning, I didn't think I would be able to get in at 12, but I was able to get in, along with four other guests.",1,call morning didn think be able get be able get other guest,VB NN VB VB VB JJ VB VB JJ VB JJ NN,"['call/VB', 'morning/NN', 'didn/VB', 'think/VB', 'be/VB', 'able/JJ', 'get/VB', 'be/VB', 'able/JJ', 'get/VB', 'other/JJ', 'guest/NN']"
"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",1,be serious sushi lover sit sushi bar be closer action,VB JJ NN NN VB NN NN VB JJ NN,"['be/VB', 'serious/JJ', 'sushi/NN', 'lover/NN', 'sit/VB', 'sushi/NN', 'bar/NN', 'be/VB', 'closer/JJ', 'action/NN']"
"Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",1,be serious sushi lover sit sushi bar be closer action,VB JJ NN NN VB NN NN VB JJ NN,"['be/VB', 'serious/JJ', 'sushi/NN', 'lover/NN', 'sit/VB', 'sushi/NN', 'bar/NN', 'be/VB', 'closer/JJ', 'action/NN']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
You can't say its cheap because food is cheaper in Chinatown.,1,say cheap food be cheaper chinatown,VB JJ NN VB JJ JJ,"['say/VB', 'cheap/JJ', 'food/NN', 'be/VB', 'cheaper/JJ', 'chinatown/JJ']"
Just make sure my ice water is kept full and my tea kettle filled with piping hot tea and that's all the service I need...,1,just make sure ice water be keep full tea kettle fill piping hot tea service need,RB VB JJ NN NN VB VB JJ NN NN VB NN JJ NN NN VB,"['just/RB', 'make/VB', 'sure/JJ', 'ice/NN', 'water/NN', 'be/VB', 'keep/VB', 'full/JJ', 'tea/NN', 'kettle/NN', 'fill/VB', 'piping/NN', 'hot/JJ', 'tea/NN', 'service/NN', 'need/VB']"
I sometimes see the waiters don't have enough knowledge of their dishes.,1,sometimes see waiter don have enough knowledge dish,RB VB NN VB VB JJ NN NN,"['sometimes/RB', 'see/VB', 'waiter/NN', 'don/VB', 'have/VB', 'enough/JJ', 'knowledge/NN', 'dish/NN']"
Was there Friday night.,1,be there friday night,VB RB JJ NN,"['be/VB', 'there/RB', 'friday/JJ', 'night/NN']"
Its located in greenewich village.,1,locate greenewich village,VB JJ NN,"['locate/VB', 'greenewich/JJ', 'village/NN']"
I'm sure I'll return for a final judgement tho.,1,sure ll return final judgement tho,JJ NN NN JJ NN NN,"['sure/JJ', 'll/NN', 'return/NN', 'final/JJ', 'judgement/NN', 'tho/NN']"
"Rao is a good restaurant, but it's nothing special.",1,rao be good restaurant nothing special,NN VB JJ NN NN JJ,"['rao/NN', 'be/VB', 'good/JJ', 'restaurant/NN', 'nothing/NN', 'special/JJ']"
My girlfiends and I ate at O.G. again last night.,1,girlfiend eat again last night,NN VB RB JJ NN,"['girlfiend/NN', 'eat/VB', 'again/RB', 'last/JJ', 'night/NN']"
It's popular w/the late crowd.,1,popular late crowd,JJ JJ NN,"['popular/JJ', 'late/JJ', 'crowd/NN']"
Have the iced tea.,1,have iced tea,VB JJ NN,"['have/VB', 'iced/JJ', 'tea/NN']"
This place is always packed.,1,place be always pack,NN VB RB VB,"['place/NN', 'be/VB', 'always/RB', 'pack/VB']"
"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",1,cost extra turn regular roll inside roll roll more triple size not just rice,VB JJ VB JJ NN NN NN NN RB NN NN RB RB NN,"['cost/VB', 'extra/JJ', 'turn/VB', 'regular/JJ', 'roll/NN', 'inside/NN', 'roll/NN', 'roll/NN', 'more/RB', 'triple/NN', 'size/NN', 'not/RB', 'just/RB', 'rice/NN']"
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,1,kind small place guess be not too busy be able fit group kid,NN JJ NN NN VB RB RB JJ VB JJ VB NN NN,"['kind/NN', 'small/JJ', 'place/NN', 'guess/NN', 'be/VB', 'not/RB', 'too/RB', 'busy/JJ', 'be/VB', 'able/JJ', 'fit/VB', 'group/NN', 'kid/NN']"
Its located in greenewich village.,1,locate greenewich village,VB JJ NN,"['locate/VB', 'greenewich/JJ', 'village/NN']"
i don't usually order wine with indian so i can't comment on their wine list or their wines.,1,don usually order wine indian comment wine list wine,VB RB NN NN NN VB NN NN NN,"['don/VB', 'usually/RB', 'order/NN', 'wine/NN', 'indian/NN', 'comment/VB', 'wine/NN', 'list/NN', 'wine/NN']"
i would just ask for no oil next time.,1,just ask oil next time,RB VB NN JJ NN,"['just/RB', 'ask/VB', 'oil/NN', 'next/JJ', 'time/NN']"
I complete the total bagel experience by having it lightly toasted.,1,complete total bagel experience have lightly toast,NN JJ NN NN VB RB VB,"['complete/NN', 'total/JJ', 'bagel/NN', 'experience/NN', 'have/VB', 'lightly/RB', 'toast/VB']"
"The atmosphere was mostly of an older crowd, but there were a few groups of mid 20's/30 year olds also.",1,atmosphere be mostly older crowd be few group mid year old also,NN VB RB JJ NN VB JJ NN JJ NN NN RB,"['atmosphere/NN', 'be/VB', 'mostly/RB', 'older/JJ', 'crowd/NN', 'be/VB', 'few/JJ', 'group/NN', 'mid/JJ', 'year/NN', 'old/NN', 'also/RB']"
I came into the city to try out this restaurant because a friend had recommended it to my husband.,1,come city try out restaurant friend have recommend husband,VB NN VB RB NN NN VB VB NN,"['come/VB', 'city/NN', 'try/VB', 'out/RB', 'restaurant/NN', 'friend/NN', 'have/VB', 'recommend/VB', 'husband/NN']"
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,1,kind small place guess be not too busy be able fit group kid,NN JJ NN NN VB RB RB JJ VB JJ VB NN NN,"['kind/NN', 'small/JJ', 'place/NN', 'guess/NN', 'be/VB', 'not/RB', 'too/RB', 'busy/JJ', 'be/VB', 'able/JJ', 'fit/VB', 'group/NN', 'kid/NN']"
P.S. Please don't tell anyone in my family i eat there.,1,please don tell anyone family eat there,VB VB NN NN NN NN RB,"['please/VB', 'don/VB', 'tell/NN', 'anyone/NN', 'family/NN', 'eat/NN', 'there/RB']"
Also a little more expensive than your average bagel place.,1,also little more expensive average bagel place,RB JJ RB JJ JJ NN NN,"['also/RB', 'little/JJ', 'more/RB', 'expensive/JJ', 'average/JJ', 'bagel/NN', 'place/NN']"
I have never before eaten 40 pieces of relatively good nigiri.,1,have never before eat piece relatively good nigiri,VB RB VB VB NN RB JJ NN,"['have/VB', 'never/RB', 'before/VB', 'eat/VB', 'piece/NN', 'relatively/RB', 'good/JJ', 'nigiri/NN']"
We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,1,get little tipsy sake isn saturday night girlfriend be about,VB JJ JJ NN JJ NN NN NN VB RB,"['get/VB', 'little/JJ', 'tipsy/JJ', 'sake/NN', 'isn/JJ', 'saturday/NN', 'night/NN', 'girlfriend/NN', 'be/VB', 'about/RB']"
"I had my eyes on this place, promising myself I will one day 'give it a try.' ",1,have eye place promise day give try,VB NN NN VB NN VB NN,"['have/VB', 'eye/NN', 'place/NN', 'promise/VB', 'day/NN', 'give/VB', 'try/NN']"
Service is average.,1,service be average,NN VB JJ,"['service/NN', 'be/VB', 'average/JJ']"
We weren't even at our table for more than an hour total.,1,weren even table more hour total,VB RB NN JJ NN NN,"['weren/VB', 'even/RB', 'table/NN', 'more/JJ', 'hour/NN', 'total/NN']"
We went to Ino for Valentines.,1,go ino valentine,VB VB NN,"['go/VB', 'ino/VB', 'valentine/NN']"
"For those of you who don't know, Uni is Sea Urchin in Japanese, which happens to be my favorite.) ",1,don know uni be sea japanese happen be favorite,VB VB JJ VB NN NN VB VB JJ,"['don/VB', 'know/VB', 'uni/JJ', 'be/VB', 'sea/NN', 'japanese/NN', 'happen/VB', 'be/VB', 'favorite/JJ']"
I think the stuff was better than Disney.,1,think stuff be better disney,VB NN VB RB NN,"['think/VB', 'stuff/NN', 'be/VB', 'better/RB', 'disney/NN']"
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",1,service be attentive yet unimposing food be far better many notorious restaurant midtown wine list be extensive well price,NN VB JJ RB JJ NN VB RB JJ JJ JJ NN NN NN NN VB JJ RB VB,"['service/NN', 'be/VB', 'attentive/JJ', 'yet/RB', 'unimposing/JJ', 'food/NN', 'be/VB', 'far/RB', 'better/JJ', 'many/JJ', 'notorious/JJ', 'restaurant/NN', 'midtown/NN', 'wine/NN', 'list/NN', 'be/VB', 'extensive/JJ', 'well/RB', 'price/VB']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",1,have hunt quiet romantic yet not hideously expensive restaurant stumble reviews la lanterna give shot,VB VB JJ JJ RB RB RB JJ NN VB NN NN NN VB NN,"['have/VB', 'hunt/VB', 'quiet/JJ', 'romantic/JJ', 'yet/RB', 'not/RB', 'hideously/RB', 'expensive/JJ', 'restaurant/NN', 'stumble/VB', 'reviews/NN', 'la/NN', 'lanterna/NN', 'give/VB', 'shot/NN']"
This place is always packed.,1,place be always pack,NN VB RB VB,"['place/NN', 'be/VB', 'always/RB', 'pack/VB']"
I don't get it either.,1,don get,VB VB,"['don/VB', 'get/VB']"
Stuffing yourself with Japanese food is a rare thing.,1,stuff japanese food be rare thing,VB JJ NN VB JJ NN,"['stuff/VB', 'japanese/JJ', 'food/NN', 'be/VB', 'rare/JJ', 'thing/NN']"
Stuffing yourself with Japanese food is a rare thing.,1,stuff japanese food be rare thing,VB JJ NN VB JJ NN,"['stuff/VB', 'japanese/JJ', 'food/NN', 'be/VB', 'rare/JJ', 'thing/NN']"
Went to Village last night for my birthday.,1,go village last night birthday,VB NN JJ NN NN,"['go/VB', 'village/NN', 'last/JJ', 'night/NN', 'birthday/NN']"
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",1,be tired cold get restaurant then sit begin order appetizer,VB JJ JJ VB NN RB VB VB VB NN,"['be/VB', 'tired/JJ', 'cold/JJ', 'get/VB', 'restaurant/NN', 'then/RB', 'sit/VB', 'begin/VB', 'order/VB', 'appetizer/NN']"
"Compared to Ess-a, Tal offers a less doughy bagel!",1,compare es tal offer less doughy bagel,VB VB NN NN JJ JJ NN,"['compare/VB', 'es/VB', 'tal/NN', 'offer/NN', 'less/JJ', 'doughy/JJ', 'bagel/NN']"
Price no more than a Jersey deli but way better.,1,price no more jersey deli way better,NN RB JJ NN NN NN RB,"['price/NN', 'no/RB', 'more/JJ', 'jersey/NN', 'deli/NN', 'way/NN', 'better/RB']"
However it is the ONLY Taiwanese restaurant in town.,1,however be only taiwanese restaurant town,RB VB JJ JJ NN NN,"['however/RB', 'be/VB', 'only/JJ', 'taiwanese/JJ', 'restaurant/NN', 'town/NN']"
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.",1,downtown dinner fix appetizer be waiter give poor suggestion try potato stuff kanish best,JJ NN VB NN VB NN VB JJ NN VB NN NN VB RB,"['downtown/JJ', 'dinner/NN', 'fix/VB', 'appetizer/NN', 'be/VB', 'waiter/NN', 'give/VB', 'poor/JJ', 'suggestion/NN', 'try/VB', 'potato/NN', 'stuff/NN', 'kanish/VB', 'best/RB']"
I have eaten at many pizza places around NYC and this is hands down the worst.,1,have eat many pizza place nyc be hand worst,VB VB JJ NN NN NN VB NN JJ,"['have/VB', 'eat/VB', 'many/JJ', 'pizza/NN', 'place/NN', 'nyc/NN', 'be/VB', 'hand/NN', 'worst/JJ']"
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",1,exception lemon salad have so much pepper eye start food here be decent not great,NN NN NN VB RB JJ NN NN VB NN RB VB JJ RB JJ,"['exception/NN', 'lemon/NN', 'salad/NN', 'have/VB', 'so/RB', 'much/JJ', 'pepper/NN', 'eye/NN', 'start/VB', 'food/NN', 'here/RB', 'be/VB', 'decent/JJ', 'not/RB', 'great/JJ']"
instead ordered an ice cold beer which to me works with indian.,1,instead order ice cold beer work indian,RB VB NN JJ NN VB JJ,"['instead/RB', 'order/VB', 'ice/NN', 'cold/JJ', 'beer/NN', 'work/VB', 'indian/JJ']"
esp. during happy hour!,1,esp happy hour,NN JJ NN,"['esp/NN', 'happy/JJ', 'hour/NN']"
I have eaten a lot of pizza here.,1,have eat lot pizza here,VB VB NN NN RB,"['have/VB', 'eat/VB', 'lot/NN', 'pizza/NN', 'here/RB']"
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",1,ll pay least double other italian restaurant city most still don compare,VB NN JJ JJ JJ JJ NN NN RB RB VB VB,"['ll/VB', 'pay/NN', 'least/JJ', 'double/JJ', 'other/JJ', 'italian/JJ', 'restaurant/NN', 'city/NN', 'most/RB', 'still/RB', 'don/VB', 'compare/VB']"
I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,1,come here boyfriend anniversary be highly recommend friend,VB RB NN NN VB RB VB NN,"['come/VB', 'here/RB', 'boyfriend/NN', 'anniversary/NN', 'be/VB', 'highly/RB', 'recommend/VB', 'friend/NN']"
Our friends have not arrived yet.,1,friend have not arrive yet,NN VB RB VB RB,"['friend/NN', 'have/VB', 'not/RB', 'arrive/VB', 'yet/RB']"
I went to this restaurant with a woman that I met recently.,1,go restaurant woman meet recently,VB NN NN VB RB,"['go/VB', 'restaurant/NN', 'woman/NN', 'meet/VB', 'recently/RB']"
"Compared to Ess-a, Tal offers a less doughy bagel!",1,compare es tal offer less doughy bagel,VB VB NN NN JJ JJ NN,"['compare/VB', 'es/VB', 'tal/NN', 'offer/NN', 'less/JJ', 'doughy/JJ', 'bagel/NN']"
I am going to the mid town location next.,1,be go mid town location next,VB VB JJ NN NN RB,"['be/VB', 'go/VB', 'mid/JJ', 'town/NN', 'location/NN', 'next/RB']"
I haven't been to the other locations.,1,haven be other location,NN VB JJ NN,"['haven/NN', 'be/VB', 'other/JJ', 'location/NN']"
We arrived on time for our reservation and seated promptly.,1,arrive time reservation seat promptly,VB NN NN VB RB,"['arrive/VB', 'time/NN', 'reservation/NN', 'seat/VB', 'promptly/RB']"
Just ignore the trendy wannabes.,1,just ignore trendy wannabe,RB VB JJ NN,"['just/RB', 'ignore/VB', 'trendy/JJ', 'wannabe/NN']"
i don't usually order wine with indian so i can't comment on their wine list or their wines.,1,don usually order wine indian comment wine list wine,VB RB NN NN NN VB NN NN NN,"['don/VB', 'usually/RB', 'order/NN', 'wine/NN', 'indian/NN', 'comment/VB', 'wine/NN', 'list/NN', 'wine/NN']"
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",1,service be attentive yet unimposing food be far better many notorious restaurant midtown wine list be extensive well price,NN VB JJ RB JJ NN VB RB JJ JJ JJ NN NN NN NN VB JJ RB VB,"['service/NN', 'be/VB', 'attentive/JJ', 'yet/RB', 'unimposing/JJ', 'food/NN', 'be/VB', 'far/RB', 'better/JJ', 'many/JJ', 'notorious/JJ', 'restaurant/NN', 'midtown/NN', 'wine/NN', 'list/NN', 'be/VB', 'extensive/JJ', 'well/RB', 'price/VB']"
I have to agree with the previous reviewer.,1,have agree previous reviewer,VB VB JJ NN,"['have/VB', 'agree/VB', 'previous/JJ', 'reviewer/NN']"
Stuffing yourself with Japanese food is a rare thing.,1,stuff japanese food be rare thing,VB JJ NN VB JJ NN,"['stuff/VB', 'japanese/JJ', 'food/NN', 'be/VB', 'rare/JJ', 'thing/NN']"
I went to this restaurant with a woman that I met recently.,1,go restaurant woman meet recently,VB NN NN VB RB,"['go/VB', 'restaurant/NN', 'woman/NN', 'meet/VB', 'recently/RB']"
We weren't even at our table for more than an hour total.,1,weren even table more hour total,VB RB NN JJ NN NN,"['weren/VB', 'even/RB', 'table/NN', 'more/JJ', 'hour/NN', 'total/NN']"
I just read Mocaramel's review and felt compelled to respond.,1,just read mocaramel review feel compel respond,RB VB NN NN VB VB VB,"['just/RB', 'read/VB', 'mocaramel/NN', 'review/NN', 'feel/VB', 'compel/VB', 'respond/VB']"
But they do.,1,do,VB,['do/VB']
"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",1,next time wouldn dare order anything else other simple asian appetizer drink,JJ NN VB VB VB NN RB JJ JJ NN NN NN,"['next/JJ', 'time/NN', 'wouldn/VB', 'dare/VB', 'order/VB', 'anything/NN', 'else/RB', 'other/JJ', 'simple/JJ', 'asian/NN', 'appetizer/NN', 'drink/NN']"
We were fast to order the appetizer platter since we were very hungry.,1,be fast order appetizer platter be very hungry,VB JJ NN NN JJ VB RB JJ,"['be/VB', 'fast/JJ', 'order/NN', 'appetizer/NN', 'platter/JJ', 'be/VB', 'very/RB', 'hungry/JJ']"
Old school meets New world.,1,old school meet new world,JJ NN VB JJ NN,"['old/JJ', 'school/NN', 'meet/VB', 'new/JJ', 'world/NN']"
I haven't been to the other locations.,1,haven be other location,NN VB JJ NN,"['haven/NN', 'be/VB', 'other/JJ', 'location/NN']"
P.S. Please don't tell anyone in my family i eat there.,1,please don tell anyone family eat there,VB VB NN NN NN NN RB,"['please/VB', 'don/VB', 'tell/NN', 'anyone/NN', 'family/NN', 'eat/NN', 'there/RB']"
i actually feel like i should keep it a secret.,1,actually feel keep secret,RB VB VB NN,"['actually/RB', 'feel/VB', 'keep/VB', 'secret/NN']"
I love Indian food and consider myself to be quite an expert on it.,1,love indian food consider be quite expert,NN JJ NN VB VB RB NN,"['love/NN', 'indian/JJ', 'food/NN', 'consider/VB', 'be/VB', 'quite/RB', 'expert/NN']"
We visited Orsay during NY Restaurant Week and tried their $35 menu.,1,visit orsay ny restaurant week try menu,VB JJ JJ NN NN VB NN,"['visit/VB', 'orsay/JJ', 'ny/JJ', 'restaurant/NN', 'week/NN', 'try/VB', 'menu/NN']"
"Service is not exactly five star, but thats not really a big deal.",1,service be not exactly star that not really big deal,NN VB RB RB NN VB RB RB JJ NN,"['service/NN', 'be/VB', 'not/RB', 'exactly/RB', 'star/NN', 'that/VB', 'not/RB', 'really/RB', 'big/JJ', 'deal/NN']"
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",1,rude service medicore food be ton restaurant ny stay away one,JJ NN JJ NN VB NN NN NN VB RB NN,"['rude/JJ', 'service/NN', 'medicore/JJ', 'food/NN', 'be/VB', 'ton/NN', 'restaurant/NN', 'ny/NN', 'stay/VB', 'away/RB', 'one/NN']"
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",1,service be attentive yet unimposing food be far better many notorious restaurant midtown wine list be extensive well price,NN VB JJ RB JJ NN VB RB JJ JJ JJ NN NN NN NN VB JJ RB VB,"['service/NN', 'be/VB', 'attentive/JJ', 'yet/RB', 'unimposing/JJ', 'food/NN', 'be/VB', 'far/RB', 'better/JJ', 'many/JJ', 'notorious/JJ', 'restaurant/NN', 'midtown/NN', 'wine/NN', 'list/NN', 'be/VB', 'extensive/JJ', 'well/RB', 'price/VB']"
